Al_conc,peak_wavelength,OH_conc,counter_ion,deg_C,citation_ref
3,539.1,1.6,Cs+,25,sipos_2006_table_1
3,621.16,1.6,Cs+,25,sipos_2006_table_2
3,538.11,2.2,Cs+,25,sipos_2006_table_3
3,620.77,2.2,Cs+,25,sipos_2006_table_4
3,537.78,2.8,Cs+,25,sipos_2006_table_5
3,620.54,2.8,Cs+,25,sipos_2006_table_6
3,536.26,3.4,Cs+,25,sipos_2006_table_7
3,620.46,3.4,Cs+,25,sipos_2006_table_8
3,536.36,4,Cs+,25,sipos_2006_table_9
3,620.34,4,Cs+,25,sipos_2006_table_10
3,542,6.1,Na+,25,sipos_2006_fig_1
3,619,6.1,Na+,25,sipos_2006_fig_2
3,700,6.1,Na+,25,sipos_2006_fig_3
3,543,7.5,Na+,25,sipos_2006_fig_4
3,620,7.5,Na+,25,sipos_2006_fig_5
3,700,7.5,Na+,25,sipos_2006_fig_6
3,543,8.9,Na+,25,sipos_2006_fig_7
3,620,8.9,Na+,25,sipos_2006_fig_8
3,700,8.9,Na+,25,sipos_2006_fig_9
3,543,10.4,Na+,25,sipos_2006_fig_10
3,621,10.4,Na+,25,sipos_2006_fig_11
3,700,10.4,Na+,25,sipos_2006_fig_12
0.56,619,4.04,Na+,25,zhou_thesis
0.84,619.5,6.12,Na+,25,zhou_thesis
1.12,619.5,7.88,Na+,25,zhou_thesis
1.62,619.5,11.86,Na+,25,zhou_thesis
2.08,620,15.25,Na+,25,zhou_thesis
3.23,621.5,22.71,Na+,25,zhou_thesis
4.16,621.5,29.49,Na+,25,zhou_thesis
1.03,619.5,16.4,Na+,25,zhou_thesis
1.42,620.5,16.8,Na+,25,zhou_thesis
1.85,620.5,17.95,Na+,25,zhou_thesis
1.99,621.5,21.73,Na+,25,zhou_thesis
2.39,621.5,23.84,Na+,25,zhou_thesis
3.03,621.5,26.88,Na+,25,zhou_thesis
3.54,621.5,29.76,Na+,25,zhou_thesis
4.07,621.5,29.57,Na+,25,zhou_thesis
5.154,698.7,8.183,Na+,25,sipos_2006_table_2
5.154,620.7,8.183,Na+,25,sipos_2006_table_3
5.154,535.2,8.183,Na+,25,sipos_2006_table_4
7.407,697.1,11.7,Na+,50,sipos_2006_table_5
7.407,620.7,11.7,Na+,50,sipos_2006_table_6
7.407,535,11.7,Na+,50,sipos_2006_table_7
7.407,699.5,11.7,Na+,75,sipos_2006_table_8
7.407,620.7,11.7,Na+,75,sipos_2006_table_9
7.407,535.4,11.7,Na+,75,sipos_2006_table_10
7.407,699.8,11.7,Na+,100,sipos_2006_table_11
7.407,620.7,11.7,Na+,100,sipos_2006_table_12
7.407,535.1,11.7,Na+,100,sipos_2006_table_13
1,725,1,Na+,25,moolenaar1970
1,625,1,Na+,25,moolenaar1971
6,705,2.3,Na+,25,moolenaar1973
6,625,2.3,Na+,25,moolenaar1974
6,540,2.3,Na+,25,moolenaar1975
